"tree.names","ml.names","D0","D1","D2","anc0","anc1","anc2","PC1","PC2","PC3","PC4","PC5","PC6","PACA1","PACA2","PACA3","PACA4","PACA5","PACA6"
"Notropis_boops","Notropis boops",691.152292869796,434.935132438511,192.002920433844,2,3,5,0.743012004166179,-0.863308183943271,-0.443849363076743,-0.0070368202874874,-0.154959480269225,0.0240159945495539,1.02586977416891,0.212608394969652,-0.245356172454505,-0.127360514941047,-0.0458752246536307,-0.0469686415878671
"Notropis_buccatus","Notropis buccatus",522.444368197931,206.343048052775,54.5578758667531,2,3,5,0.414442403350337,-0.81064598153154,-0.108645410721028,0.345138645391281,-0.149152616460063,0.000941859276981165,0.702846607390099,0.145651400484922,0.209027434371783,-0.0950323086761334,-0.191156146900204,0.0542407799208539
"Notropis_buchanani","Notropis buchanani",257.50948378531,272.429911144658,189.73880406369,2,3,5,0.40422760388142,-0.606635913535213,-0.182660376057288,0.198607620472728,0.0081619259150397,-0.0109258615608232,0.58833728756533,0.0285438019063709,-0.00276703278498789,0.0306631426001682,-0.129701756997162,0.00624853502292561
"Notropis_dorsalis","Notropis dorsalis",342.845315533569,166.658702984711,241.99612529648,2,3,5,0.893748804981863,-0.191069669210227,-0.0852684571661128,0.284220133321165,-0.0697478495896923,0.0546008241559169,0.697320588210553,-0.31481781108689,0.0402672043886799,-0.0264557862482647,0.42106948928176,-0.0293413119074928
"Notropis_hudsonius","Notropis hudsonius",232.438791375272,366.120504327706,325.699694615153,2,3,5,0.615124557982133,-0.449192487415753,0.06476014755171,0.166026417165068,-0.0513122314602089,-0.0557941953276731,0.555006989015966,0.0171648986657014,0.0896222471831114,0.0627470242608051,0.21849726074871,0.0772883270035421
"Notropis_leuciodus","Notropis leuciodus",427.327814932032,548.336002213862,244.615117198842,2,3,5,0.380946115209651,-0.782739943313772,-0.269987227280073,0.262896657060013,-0.0249030910805966,0.00516397990695109,0.711266971415801,0.0896897342814549,0.032619299567092,-0.0220785692696077,-0.277075335688062,-0.00165778739426168
"Notropis_nubilus","Notropis nubilus",601.347910330351,557.640299973471,215.768326110709,2,3,5,0.731348794152684,-0.99887211041431,-0.196259305690913,-0.00665142498088809,-0.0895713327611245,-0.0595342473901225,0.997652923191274,0.384390061369412,-0.0794330449761584,0.028375407965816,-0.0122870922256369,0.0416507145970204
"Notropis_rubellus","Notropis percobromus",597.811464814365,468.984522343023,204.185598017724,2,3,5,0.681753892656171,-0.782307676488192,-0.456515856771065,0.165897380678516,-0.0688303107679252,-0.0150489652393543,0.980950749354456,0.0427398236008236,-0.159475799269242,-0.0732530037417789,-0.126938182044493,-0.00725332180363845
"Notropis_stramineus","Notropis stramineus",540.788828603492,412.524898280518,127.00845416059,2,3,5,0.20138782235086,-0.938138997310074,-0.175878996276233,0.256659256071497,-0.116904077080408,0.0635116238021539,0.623389326044189,0.280320158028865,0.141965106463694,-0.0960091719706747,-0.39984675959692,-0.0260798831220026
"Notropis_telescopus","Notropis telescopus",446.196215907472,421.938663217767,249.686990404215,2,3,5,0.873748046269228,-0.512937485652738,-0.29154092284887,0.0884894453079264,-0.142031809400823,-0.0441848663164375,0.896303823677498,-0.0448255798998404,-0.171390987365171,-0.0858115444282282,0.235763679772021,0.0391471201497884
"Notropis_texanus","Notropis texanus",472.826438487603,332.559920388292,122.547450368303,2,3,5,0.286221800035201,-0.941901620002692,-0.258961117443649,0.160668161133226,-0.0489732275605319,-0.0263945807674428,0.703155101898223,0.278253357654083,-0.00137834803621513,-0.0198857392372208,-0.371926408051851,0.024289716341602
"Notropis_volucellus","Notropis volucellus",391.948962835531,545.022625840347,336.94532259687,2,3,6,0.886715800191259,-0.5659284846793,-0.160083876711058,0.132946185477099,-0.115899328861494,-0.00370440577554002,0.891383979667569,0.00891235612216415,-0.0405509699545436,-0.0327772767897635,0.266547816993234,0.0115108734309956
"Notropis_wickliffi","Notropis wickliffi",639.545620720198,316.562335817935,46.9699357645835,2,3,6,0.730907590650608,-0.987547753292696,-0.166416883481978,0.214687711575385,-0.0620911510342574,0.0704614253641555,1.02132368616247,0.258019699780064,0.116270850039614,0.01148008726586,-0.0599341196880435,-0.0597325959739825
"Noturus_exilis","Noturus exilis",1073.58385606005,763.093596638061,316.01612544915,2,4,7,0.676747766988515,0.422978519247897,0.097791810000231,0.798032192390291,0.168180075662872,-0.0335359969634113,0.25288893196834,-0.981584492055136,0.36057517081691,0.139998348027015,0.431621926270332,0.0869492230901855
"Noturus_flavus","Noturus flavus",1074.42269391267,806.076712980645,331.899369449924,2,4,7,-0.389490410155283,0.50528708803194,-0.0611864408733603,0.585528865176864,0.356500196811173,0.11484536533317,-0.545525293486491,-0.871704382677993,0.116064086255714,0.160840879461371,-0.289518448273853,-0.117377379913748
"Noturus_gyrinus","Noturus gyrinus",464.295696585102,315.995074278879,120.376481454019,2,4,7,-0.570265947647536,0.570006715671878,0.00672952776718475,0.440704175801448,0.0174501326855387,0.013324974954659,-0.76899254893223,-0.710346705806558,0.0552895720017331,-0.119698765547556,-0.244825299903931,0.0479982670091903
"Noturus_miurus","Noturus miurus",1009.1745668771,752.609017967908,281.804812322021,2,4,7,0.0106614288196488,0.887944093335624,-0.175632861704718,0.652000650436261,-0.00597651647418662,0.125772228102934,-0.408596351405316,-1.18813272662102,0.0355158355279233,-0.210476659071557,0.14485288612589,-0.0569331897201332
"Noturus_nocturnus","Noturus nocturnus",911.528792089279,646.058825515064,159.657419649593,2,4,7,-0.138934857962013,0.716487965256517,-0.175311625083285,0.684103310801875,0.166949012234583,-0.00722770223980115,-0.41219040104643,-1.10932201236878,0.0606818930604688,-0.0262398106732124,-0.0795096685337123,0.0392957469569267
"Phenacobius_mirabilis","Phenacobius mirabilis",417.845906706313,244.929168054379,49.792851499535,2,5,8,0.861401139475042,-0.60047160202156,0.10185674587003,0.206275571080903,-0.061303140870305,0.0623103780480854,0.804044965485456,0.0823307581032733,0.191885568087435,0.0695688775349013,0.328602625397864,-0.0308234987110358
"anc0.1",NA,NA,NA,NA,NA,NA,NA,-0.0295529664188522,0.00806004845012389,0.00599141237858688,-0.00236095325084741,-0.00282097784139783,0.00158536249218945,-0.167779148961039,-0.143674166819486,-0.151585468082709,0.00331327983584076,0.00424907415342704,-0.00168036634238129
"anc0.2",NA,NA,NA,NA,NA,NA,NA,0.029552966418853,-0.00806004845012268,-0.00599141237858667,0.00236095325084519,0.0028209778413973,-0.00158536249219015,-0.110639342596402,-0.149182107339824,-0.154237165974869,0.0119314398562358,0.0284261111170364,-0.00157891999278959
"anc1.1",NA,NA,NA,NA,1,NA,NA,-0.192916398670021,-0.0485032292449305,0.196368591989166,-0.0483316569534994,0.0185797980808935,0.0163982313182239,-0.338839453346347,0.0107609561762547,-0.0490858816635167,0.0675226376743613,-0.0298606945893894,-0.00578982663372342
"anc1.2",NA,NA,NA,NA,1,NA,NA,0.00984469670108815,0.0984327952588136,-0.159253601710359,0.0337062645723862,-0.0360549038730439,-0.00657738945858147,-0.116560960314794,-0.286557216272836,-0.24852351857948,-0.0789713673032953,-0.0123488414023458,0.00221632554909106
"anc1.3",NA,NA,NA,NA,2,NA,NA,0.11773831739841,-0.0827517804096788,0.0418431439087517,0.0578777185225007,0.00741061839353195,0.00210691090885883,-0.0142356084918976,-0.124619369982016,-0.0691209864255175,0.0366714500031279,0.0597887818866683,0.00321768072601564
"anc1.4",NA,NA,NA,NA,2,NA,NA,0.0682838849797954,0.0591296428749597,0.0105971250118859,0.141912916166385,0.0298861055905782,0.00744611583005717,-0.0963379693358166,-0.279277485795686,-0.0592469227990495,0.0231846925994618,0.0454341839539903,0.00160918756348107
"anc1.5",NA,NA,NA,NA,2,NA,NA,0.0754420441788078,-0.0373299120242165,-0.0710066690794406,-0.108253579965159,-0.00487376536495999,-0.0161173172769658,-0.0588676959833306,-0.0955513134629249,-0.271114595336484,0.00781558546874648,0.0493868227510775,-0.00629984024598117
"anc2.1",NA,NA,NA,NA,1,1,NA,-0.0281082953643942,-0.389198414278435,0.325396093231392,0.0487876399576086,0.141890139923461,0.0367244104050328,-0.0666003175062314,0.187630996527112,0.166166398684602,0.244976824659636,-0.0613121849297546,-0.0326948580617847
"anc2.2",NA,NA,NA,NA,1,1,NA,-0.613376570230366,0.102729984534722,0.493111225890625,-0.215935526371446,-0.0853638916279679,0.0487214505399968,-0.875161370745406,0.195573469882584,0.00583824129484476,0.0147500437826057,-0.0324558972389055,0.00123615641599324
"anc2.3",NA,NA,NA,NA,1,1,NA,-0.486318006202531,0.0838872766184213,0.311323454887939,-0.154333366264005,0.022693806213124,0.00141852360722492,-0.687219985934117,0.0628351511407292,-0.0797974362405097,0.0805203996745038,-0.0830177880988385,0.0111073232147653
"anc2.4",NA,NA,NA,NA,1,2,NA,0.09290274729216,0.261790210903835,-0.465374038583338,0.100898890780468,-0.0961796485096512,-0.0221608916355249,-0.0121106849904572,-0.550382451086119,-0.427319665230683,-0.228793837413466,-0.0385517909424392,0.00940260751701666
"anc2.5",NA,NA,NA,NA,2,3,NA,0.397976697628958,-0.458266350205629,0.036364240502526,0.058314570735658,-0.0394932336057241,0.00235892901224644,0.390286643677428,0.101674832634341,0.00860915589087533,0.0466685904062116,0.0875433118879557,0.00714648930982277
"anc2.6",NA,NA,NA,NA,2,3,NA,0.156007873693665,-0.298303105283057,0.241230597385926,-0.100425609916536,-0.00862747414312253,-0.00728754484843538,0.0191931863929849,0.186263487373327,-0.0116059501112922,0.116105224555966,0.134584283846354,0.0137059038198822
"anc2.7",NA,NA,NA,NA,2,4,NA,0.0160421328999119,0.395768755199103,-0.0266516192487527,0.452542049838658,0.100973695376436,0.0276957553297666,-0.235629561032167,-0.708221860022505,0.0662562028831603,0.0104253338521265,0.0361157753752333,0.002258290750284
"anc2.8",NA,NA,NA,NA,2,5,NA,0.150226404855655,-0.0883254016862292,-0.187917324495946,-0.310994937521803,-0.019788502422751,-0.0421735470150547,0.026960478478163,0.00323806390320483,-0.484168281353464,-0.0010173039130711,0.0839767058977573,-0.0149373620591909
