,0,1,2,3,4,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
11,0.5836914,0.5836914,0.5836914,0.5214778,0,0,0,0,0,0,0,0,0.19631141,0.19631141,0.8343998,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.45680463,0.45680463,0.7549232,0.7549232,0.7549232,0.7549232,0.7549232,0.7245755
12,0.5836914,0.5836914,0.5836914,0.5214778,0,0,0,0,0,0,0,0,0.19631141,0.19631141,0.8343998,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.45680463,0.45680463,0.7549232,0.7549232,0.7549232,0.7549232,0.7549232,0.7245755
13,0.5836914,0.5836914,0.5836914,0.5214778,0,0,0,0,0,0,0,0,0.19631141,0.19631141,0.8343998,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.45680463,0.45680463,0.7549232,0.7549232,0.7549232,0.7549232,0.7549232,0.7245755
14,0.5119008,0.5119008,0.5119008,0.47028783,0.19631141,0.19631141,0.19631141,0.19631141,0.19631141,0.19631141,0.19631141,0.19631141,0,0,0.69460154,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.41609403,0.41609403,0.6529447,0.6529447,0.6529447,0.6529447,0.6529447,0.6108466
15,0.5119008,0.5119008,0.5119008,0.47028783,0.19631141,0.19631141,0.19631141,0.19631141,0.19631141,0.19631141,0.19631141,0.19631141,0,0,0.69460154,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.5119008,0.41609403,0.41609403,0.6529447,0.6529447,0.6529447,0.6529447,0.6529447,0.6108466
16,0.86486447,0.86486447,0.86486447,1.0065386,0.8343998,0.8343998,0.8343998,0.8343998,0.8343998,0.8343998,0.8343998,0.8343998,0.69460154,0.69460154,0,0.86486447,0.86486447,0.86486447,0.86486447,0.86486447,0.86486447,0.86486447,0.86486447,0.86486447,0.86486447,0.86486447,0.86486447,0.86486447,0.8882159,0.8882159,0.6383704,0.6383704,0.6383704,0.6383704,0.6383704,0.61326957
17,0,0,0,0.3464654,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5119008,0.5119008,0.86486447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2269372,0.2269372,0.98206586,0.98206586,0.98206586,0.98206586,0.98206586,0.5597959
18,0,0,0,0.3464654,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5119008,0.5119008,0.86486447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2269372,0.2269372,0.98206586,0.98206586,0.98206586,0.98206586,0.98206586,0.5597959
19,0,0,0,0.3464654,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5119008,0.5119008,0.86486447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2269372,0.2269372,0.98206586,0.98206586,0.98206586,0.98206586,0.98206586,0.5597959
20,0,0,0,0.3464654,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5119008,0.5119008,0.86486447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2269372,0.2269372,0.98206586,0.98206586,0.98206586,0.98206586,0.98206586,0.5597959
