"tree.names","ml.names","D0","D1","D2","anc0","anc1","anc2","PC2","PC3","PC4","PC5","PC6","PC7"
"Notropis_volucellus","Notropis volucellus",203.604380312046,398.709401718627,327.482066449416,2,3,6,0.409052938137599,0.236731415543794,0.06183787670632,-0.00107030257488545,-0.163546102777598,0.0219170804232073
"Notropis_wickliffi","Notropis wickliffi",454.975327508373,208.619356472444,33.3507428105925,2,3,6,0.867561646757011,0.21094265776352,0.0138091279904477,0.0682235291711317,-0.166759551617185,-0.0498400504700685
"Noturus_exilis","Noturus exilis",980.9896386631,697.83991091834,277.251689180688,2,4,7,-0.468767918348173,-0.248015415861704,-0.559539087134971,0.382723175977317,-0.150868080885576,0.0605181228499072
"Noturus_flavus","Noturus flavus",1074.27290064928,795.398233169611,309.407258631852,2,4,7,-0.315731472525413,-0.653261123047179,-0.336182539459611,0.457998755363063,0.0222431611953778,-0.104801669845105
"Noturus_gyrinus","Noturus gyrinus",570.106331529889,404.519629586681,177.968507590186,2,4,7,-0.289341339700182,-0.839749169741747,-0.340367410615271,0.0556250279297785,-0.0117086043780096,-0.0142774796178356
"Noturus_miurus","Noturus miurus",1005.11215784803,752.868017353394,281.320527363894,2,4,7,-0.726360899624315,-0.77842192323388,-0.299514513470899,0.192871115619327,-0.210569270491911,-0.0984511831537275
"Noturus_nocturnus","Noturus nocturnus",919.149921020958,654.151672773921,162.542584543591,2,4,7,-0.523115096396495,-0.813130487162208,-0.321166809563502,0.328246572803123,-0.0900558728985145,0.0243375066801464
"Phenacobius_mirabilis","Phenacobius mirabilis",275.27028086443,267.08606253157,54.2972352164988,2,5,8,0.413186911326867,0.38505040474932,-0.177801793697472,0.0406270733168944,-0.139043264521712,-0.0449577207208491
"anc0.1",NA,NA,NA,NA,NA,NA,NA,-0.000847440352731854,-0.0125247682943468,-0.00472933799310607,-0.00622006336370038,0.00272814180104946,-0.00213578415600767
"anc0.2",NA,NA,NA,NA,NA,NA,NA,0.000847440352733082,0.0125247682943477,0.00472933799310994,0.0062200633636958,-0.00272814180104095,0.0021357841560042
"anc1.1",NA,NA,NA,NA,1,NA,NA,0.080647266703898,0.0225024750130271,-0.132236942020584,-0.049152887260196,0.0792624544782602,-0.0271934864690587
"anc1.2",NA,NA,NA,NA,1,NA,NA,-0.0858969037620879,-0.100089632116482,0.102940121413357,0.0106214731812176,-0.0623624399196005,0.0139629486294136
"anc1.3",NA,NA,NA,NA,2,NA,NA,0.059496264238096,0.0464812070469165,-0.0648730940170034,0.0213105893515703,-0.0116514822716965,-0.000223686413201982
"anc1.4",NA,NA,NA,NA,2,NA,NA,-0.0499481084070685,-0.0800290853442408,-0.0979006744685847,0.0641156559848841,-0.0232528125854893,-0.00329910622598064
"anc1.5",NA,NA,NA,NA,2,NA,NA,-0.000440739883947766,0.101423549937997,0.131058221789809,-0.012717339925517,0.0039934255157226,0.0159369693907057
"anc2.1",NA,NA,NA,NA,1,1,NA,0.398152662240694,0.109508842281908,-0.290952379776694,0.0561723266263113,0.144481539737499,-0.0521231327920491
"anc2.2",NA,NA,NA,NA,1,1,NA,-0.012244591925798,0.0467307616328594,-0.275946557186165,-0.258196565115454,0.150510905446043,-0.0740950465610797
"anc2.3",NA,NA,NA,NA,1,1,NA,-0.00544634777792267,-0.00392625304033994,-0.165345901985874,-0.113128438180609,0.155145337388938,-0.0228400278603031
"anc2.4",NA,NA,NA,NA,1,2,NA,-0.242045161974687,-0.256682779097547,0.30269608411627,0.0438298737475649,-0.18307617520558,0.0443421300513325
"anc2.5",NA,NA,NA,NA,2,3,NA,0.364484907334352,0.228921970117032,-0.0500370224834281,-0.00154999515190788,-0.0558245530914381,0.00400764831120251
"anc2.6",NA,NA,NA,NA,2,3,NA,0.214209509891863,0.325670031679218,-0.112695579848595,-0.0635968480966148,0.05264346884128,-4.13924865330917e-05
"anc2.7",NA,NA,NA,NA,2,4,NA,-0.307445041864304,-0.41804683850603,-0.274981224726022,0.206509770174732,-0.0671038493866285,-0.0154563924826926
"anc2.8",NA,NA,NA,NA,2,5,NA,-0.00305219548017393,0.259958604175046,0.360334164445371,-0.0492030802287178,0.0171024565996595,0.0404904723377296
