,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
20,9.698014855384826660e-01,9.894073605537414551e-01,9.775192737579345703e-01,9.104998707771301270e-01,9.476228952407836914e-01,9.868451356887817383e-01,9.759415984153747559e-01,9.548504352569580078e-01,9.790154099464416504e-01,9.613040685653686523e-01,9.679551124572753906e-01,9.812772274017333984e-01,9.615122079849243164e-01,9.747627973556518555e-01,9.783325195312500000e-01,1.063114285469055176e+00,1.091863512992858887e+00,7.635530233383178711e-01,6.512243747711181641e-01,6.735917925834655762e-01,4.951821863651275635e-01,7.113459706306457520e-01,6.516536474227905273e-01,7.763977050781250000e-01,8.743429183959960938e-01,8.318741321563720703e-01,9.109791517257690430e-01,7.504953742027282715e-01,8.488578796386718750e-01,8.670402169227600098e-01,8.734347820281982422e-01,8.573641180992126465e-01,9.892871379852294922e-01,9.817291498184204102e-01,1.003410339355468750e+00,9.465156793594360352e-01,9.694495201110839844e-01,7.819510102272033691e-01
21,9.990383982658386230e-01,9.471265077590942383e-01,9.105508923530578613e-01,9.540557265281677246e-01,8.784214258193969727e-01,9.482234120368957520e-01,9.636945128440856934e-01,9.143825769424438477e-01,9.290781021118164062e-01,9.238856434822082520e-01,9.260625839233398438e-01,9.034369587898254395e-01,9.156549572944641113e-01,9.393947720527648926e-01,9.357320070266723633e-01,1.082513809204101562e+00,1.089886188507080078e+00,7.673172950744628906e-01,7.333889007568359375e-01,7.100026011466979980e-01,7.113459706306457520e-01,5.736505985260009766e-01,7.905504107475280762e-01,8.177822232246398926e-01,8.855344057083129883e-01,9.218441843986511230e-01,9.181765317916870117e-01,8.148133754730224609e-01,8.674901127815246582e-01,8.349902629852294922e-01,7.862702608108520508e-01,7.784067392349243164e-01,1.000596404075622559e+00,9.694784283638000488e-01,1.035999655723571777e+00,1.008288383483886719e+00,9.705471992492675781e-01,9.619768857955932617e-01
22,9.951756596565246582e-01,9.836316108703613281e-01,1.007646679878234863e+00,9.675538539886474609e-01,9.721865057945251465e-01,1.005504250526428223e+00,9.888192415237426758e-01,1.006548285484313965e+00,1.003519535064697266e+00,9.698447585105895996e-01,9.952940940856933594e-01,9.948894381523132324e-01,9.900553226470947266e-01,9.840348958969116211e-01,9.940487742424011230e-01,1.060873508453369141e+00,1.061956524848937988e+00,8.527193665504455566e-01,7.678062915802001953e-01,8.097036480903625488e-01,6.516536474227905273e-01,7.905504107475280762e-01,5.864286422729492188e-01,7.412820458412170410e-01,7.359007000923156738e-01,7.386312484741210938e-01,7.974998950958251953e-01,6.834018230438232422e-01,7.193726897239685059e-01,7.886487841606140137e-01,7.703900933265686035e-01,7.999602556228637695e-01,9.133018255233764648e-01,8.894058465957641602e-01,9.229753613471984863e-01,8.866752386093139648e-01,8.652498126029968262e-01,8.377105593681335449e-01
23,9.538891315460205078e-01,9.786659479141235352e-01,9.718267321586608887e-01,1.038091897964477539e+00,1.004579424858093262e+00,1.015929341316223145e+00,9.982783198356628418e-01,1.004114031791687012e+00,1.004010319709777832e+00,9.809662699699401855e-01,9.854314327239990234e-01,9.699376821517944336e-01,9.719280004501342773e-01,9.706242084503173828e-01,9.846283793449401855e-01,1.019085884094238281e+00,1.002350091934204102e+00,8.405889868736267090e-01,7.651135921478271484e-01,7.730022668838500977e-01,7.763977050781250000e-01,8.177822232246398926e-01,7.412820458412170410e-01,5.705350041389465332e-01,7.583047747611999512e-01,6.916490197181701660e-01,8.012174963951110840e-01,6.463261246681213379e-01,7.153523564338684082e-01,7.196254134178161621e-01,7.183612585067749023e-01,7.396045327186584473e-01,9.001740217208862305e-01,8.922012448310852051e-01,9.050442576408386230e-01,8.638073801994323730e-01,8.893495798110961914e-01,8.449902534484863281e-01
24,9.611957073211669922e-01,1.015671610832214355e+00,1.007403135299682617e+00,1.014936566352844238e+00,1.011323213577270508e+00,9.987966418266296387e-01,1.012508988380432129e+00,9.962436556816101074e-01,9.813955426216125488e-01,9.733524322509765625e-01,9.881721735000610352e-01,9.682555198669433594e-01,9.915148019790649414e-01,9.690329432487487793e-01,9.869736433029174805e-01,1.052582383155822754e+00,1.038361191749572754e+00,8.138030171394348145e-01,8.435492515563964844e-01,8.405551314353942871e-01,8.743429183959960938e-01,8.855344057083129883e-01,7.359007000923156738e-01,7.583047747611999512e-01,5.992527604103088379e-01,6.570694446563720703e-01,6.412014961242675781e-01,7.145134806632995605e-01,6.056098937988281250e-01,7.441211342811584473e-01,7.410815954208374023e-01,8.026542067527770996e-01,9.363325238227844238e-01,8.967635631561279297e-01,9.250276088714599609e-01,8.779717087745666504e-01,8.958853483200073242e-01,8.842476010322570801e-01
25,9.773697853088378906e-01,9.946113228797912598e-01,1.005630016326904297e+00,1.044210553169250488e+00,1.041681170463562012e+00,1.022653102874755859e+00,1.015463948249816895e+00,1.015781283378601074e+00,1.019180417060852051e+00,9.776194095611572266e-01,1.009492754936218262e+00,9.808294177055358887e-01,1.000442981719970703e+00,9.478437900543212891e-01,9.902405142784118652e-01,1.055199980735778809e+00,1.034265041351318359e+00,9.243110418319702148e-01,8.382409214973449707e-01,8.029441237449645996e-01,8.318741321563720703e-01,9.218441843986511230e-01,7.386312484741210938e-01,6.916490197181701660e-01,6.570694446563720703e-01,5.236522555351257324e-01,7.462884783744812012e-01,6.341838240623474121e-01,6.148244738578796387e-01,6.726567149162292480e-01,7.354463934898376465e-01,7.830663919448852539e-01,9.135540723800659180e-01,9.123944044113159180e-01,8.980588912963867188e-01,8.749550580978393555e-01,9.093227982521057129e-01,7.800671458244323730e-01
26,9.497243762016296387e-01,1.029675245285034180e+00,1.030988574028015137e+00,9.933310747146606445e-01,9.875974059104919434e-01,9.901419281959533691e-01,1.000474572181701660e+00,1.016002893447875977e+00,1.014278769493103027e+00,9.999746680259704590e-01,1.034861445426940918e+00,1.011403203010559082e+00,1.025257229804992676e+00,1.004421710968017578e+00,1.007217884063720703e+00,1.026142239570617676e+00,1.008919358253479004e+00,7.915101647377014160e-01,8.595374226570129395e-01,8.647519946098327637e-01,9.109791517257690430e-01,9.181765317916870117e-01,7.974998950958251953e-01,8.012174963951110840e-01,6.412014961242675781e-01,7.462884783744812012e-01,4.834341406822204590e-01,7.699342966079711914e-01,6.224719882011413574e-01,8.038550019264221191e-01,7.525070905685424805e-01,7.987045049667358398e-01,9.091586470603942871e-01,9.066810607910156250e-01,8.870053887367248535e-01,8.758345246315002441e-01,8.825432062149047852e-01,9.199857115745544434e-01
27,9.844923615455627441e-01,9.779066443443298340e-01,9.757575988769531250e-01,1.040089488029479980e+00,1.013589739799499512e+00,1.030745267868041992e+00,1.014619708061218262e+00,1.017905592918395996e+00,1.015405535697937012e+00,9.883371591567993164e-01,1.014811277389526367e+00,9.860043525695800781e-01,9.906457662582397461e-01,9.729905128479003906e-01,1.000665307044982910e+00,1.044742107391357422e+00,1.027674674987792969e+00,8.956969976425170898e-01,7.806177735328674316e-01,7.856033444404602051e-01,7.504953742027282715e-01,8.148133754730224609e-01,6.834018230438232422e-01,6.463261246681213379e-01,7.145134806632995605e-01,6.341838240623474121e-01,7.699342966079711914e-01,5.795396566390991211e-01,6.501481533050537109e-01,6.557850241661071777e-01,6.598094701766967773e-01,6.929804682731628418e-01,9.134650230407714844e-01,9.031494855880737305e-01,9.063295722007751465e-01,8.892915248870849609e-01,8.904811739921569824e-01,7.833597064018249512e-01
28,9.638861417770385742e-01,1.039358735084533691e+00,1.029267787933349609e+00,1.041793107986450195e+00,1.026677608489990234e+00,1.006027579307556152e+00,1.010711431503295898e+00,1.065099954605102539e+00,1.035276651382446289e+00,1.026588916778564453e+00,1.039496064186096191e+00,1.001933693885803223e+00,1.045431137084960938e+00,1.017806887626647949e+00,1.052437305450439453e+00,1.076429843902587891e+00,1.041294336318969727e+00,8.596978783607482910e-01,8.712432980537414551e-01,8.234924077987670898e-01,8.488578796386718750e-01,8.674901127815246582e-01,7.193726897239685059e-01,7.153523564338684082e-01,6.056098937988281250e-01,6.148244738578796387e-01,6.224719882011413574e-01,6.501481533050537109e-01,4.862303137779235840e-01,6.799165010452270508e-01,6.792351603507995605e-01,7.707568407058715820e-01,9.010681509971618652e-01,9.271088838577270508e-01,9.271513223648071289e-01,8.967297077178955078e-01,9.322993159294128418e-01,8.590003848075866699e-01
29,9.964974522590637207e-01,9.765272736549377441e-01,9.767659902572631836e-01,1.069387912750244141e+00,1.034487247467041016e+00,9.967477321624755859e-01,9.999006390571594238e-01,1.022508025169372559e+00,1.026819705963134766e+00,9.827082157135009766e-01,1.017627120018005371e+00,9.761490821838378906e-01,9.740965366363525391e-01,9.598723649978637695e-01,9.852945804595947266e-01,9.988567829132080078e-01,9.743757247924804688e-01,9.278761744499206543e-01,8.704555630683898926e-01,8.305726647377014160e-01,8.670402169227600098e-01,8.349902629852294922e-01,7.886487841606140137e-01,7.196254134178161621e-01,7.441211342811584473e-01,6.726567149162292480e-01,8.038550019264221191e-01,6.557850241661071777e-01,6.799165010452270508e-01,6.193069815635681152e-01,6.549344062805175781e-01,6.969094276428222656e-01,8.764771819114685059e-01,8.729853034019470215e-01,9.129453897476196289e-01,8.928821682929992676e-01,8.957682251930236816e-01,8.233994245529174805e-01
